"date","team","opponents","where","competition","time","score"
"17/08/2019","KESTRELS","NORTH AYR","HOME","CHALLENGE","7:15PM","5-6"
"18/08/2019","KESTRELS","NORTH AYR","AWAY","CHALLENGE","6:00PM","5-7"
"31/08/2019","KESTRELS","DUNDEE TIGERS","AWAY","STUART ROBERTSON CUP","7:30PM","4-5"
"31/08/2019","REDSKINS","BELFAST","AWAY","TOURNAMENT","11:00AM","Runners Up"
"01/09/2019","FLAMES","LANARKSHIRE","AWAY","LEAGUE","10:00AM","1-4"
"08/09/2019","EAGLES","LANARKSHIRE","HOME","CHALLENGE","5:30PM","21-0"
"08/09/2019","KESTRELS","SOLWAY SHARKS","HOME","LEAGUE","7:15PM","1-8"
"08/09/2019","CHIEFS","LANARKSHIRE","AWAY","LEAGUE","10:00AM","2-3"
"14/09/2019","KESTRELS","DUNDEE COMETS","HOME","LEAGUE","8:15PM","4-4"
"14/09/2019","CHIEFS","MURRAYFIELD","AWAY","LEAGUE","12:15PM","10-0"
"14/09/2019","FLAMES","MURRAYFIELD","AWAY","LEAGUE","5:00PM","4-2"
"21/09/2019","KESTRELS","ABERDEEN","AWAY","STUART ROBERTSON CUP","7:15PM","4-8"
"21/09/2019","KUBZ","X-ICE","HOME","CHALLENGE","12:15PM",""
"28/09/2019","CHIEFS","SOLWAY","HOME","LEAGUE","6:30PM","9-1"
"28/09/2019","FALCONS","SOLWAY","HOME","LEAGUE","8:00PM","4-1"
"29/09/2019","KESTRELS","DUNDEE COMETS","AWAY","STUART ROBERTSON CUP","7:30PM","7-8"
"05/10/2019","KESTRELS","ABERDEEN","HOME","STUART ROBERTSON CUP","7:15PM","6-1"
"05/10/2019","CHIEFS","INVERNESS","AWAY","LEAGUE","6:00PM","48-0"
"20/10/2019","EAGLES","LANARKSHIRE","HOME","CHALLENGE","4:15PM","4-4"
"20/10/2019","KESTRELS","PAISLEY","HOME","LEAGUE","6:15PM","3-6"
"26/10/2019","KUBZ","X-ICE","HOME","CHALLENGE","12:15PM","0"
"26/10/2019","CHIEFS","ELGIN","HOME","LEAGUE","6:30PM","22-0"
"26/10/2019","FLAMES","MURRAYFIELD","HOME","LEAGUE","8:00PM","0-2"
"27/10/2019","KESTRELS","DUNDEE TIGERS","AWAY","LEAGUE","6:30PM","1-4"
"02/11/2019","REDSKINS","LANARKSHIRE","AWAY","LEAGUE","5:45PM","5-1"
"03/11/2019","CHIEFS","MURRAYFIELD","HOME","LEAGUE","4:15PM","13-1"
"03/11/2019","KESTRELS","DUNDEE COMETS","HOME","LEAGUE","6:40PM","5-4OT"
"09/11/2019","REDSKINS","BELFAST","HOME","LEAGUE & SCOT CUP","6:30PM","5-1"
"09/11/2019","FALCONS","BELFAST","HOME","LEAGUE","8:00PM","11-3"
"10/11/2019","CHIEFS","DUNDEE","AWAY","LEAGUE","2:30PM","7-3"
"10/11/2019","FLAMES","DUNDEE","AWAY","LEAGUE","4:00PM","1-4"
"10/11/2019","FALCONS","DUNDEE","AWAY","LEAGUE","CANC",""
"16/11/2019","KESTRELS","KILMARNOCK","AWAY","LEAGUE","7:30PM",""
"16/11/2019","CHIEFS","BELFAST","AWAY","LEAGUE","12:30PM",""
"16/11/2019","FLAMES","BELFAST","AWAY","LEAGUE","11:00AM",""
"17/11/2019","KESTRELS","DUNDEE TIGERS","HOME","STUART ROBERTSON CUP","6:40PM",""
"17/11/2019","REDSKINS","MURRAYFIELD","HOME","LEAGUE","4:15PM",""
"23/11/2019","EAGLES","INVERNESS","AWAY","CHALLENGE","TBC",""
"24/11/2019","KUBZ","KILMARNOCK","AWAY","X-ICE","TBC",""
"30/11/2019","REDSKINS","MURRAYFIELD","AWAY","LEAGUE","12;15PM",""
"30/11/2019","KESTRELS","ABERDEEN","AWAY","LEAGUE","7:15PM",""
"07/12/2019","KESTRELS","PAISLEY","HOME","SCOTTISH CUP 1ST ROUND","7:15PM",""
